Khanty_people	__people__ethnicity__languages_spoken	Khanty_Language
Fuadi_Ndayisenga	__people__person__nationality	Burundi
Immobile	__music__release__region	France
Titan	__music__single__versions	Titan
Mad_About_You	__tv__tv_program__episodes	Up_All_Night
18_Tracks	__music__album__release_type	Album
Ancol	__common__topic__notable_types	Location
Cult_Comedies	__media_common__netflix_genre__titles	Fletch_Lives
Virgin_Ground	__music__album__artist	Redgum
Martin_Goldsmith	__people__person__gender	Male
Dangerous	__music__release_track__recording	Dangerous
Nailed	__music__single__versions	Nailed
WOW_Worship:_Purple	__music__album__release_type	Album
Michael_McShane	__common__topic__notable_types	TV_Actor
Cult_Comedies	__media_common__netflix_genre__titles	Sixteen_Candles
Aleksandar_S._Ilic	__people__person__place_of_birth	Belgrade
Jim_Burns	__book__illustrator__book_edition_covers	Sundiver
Spider-Man_2	__award__award_nominee__award_nominations	Sam_Raimi
Massimo_Dallamano	__common__topic__notable_types	Film_director
Buick_Rainier	__automotive__model__make	Buick
After_This_Our_Exile	__film__film__country	Hong_Kong
Marco_Polo	__film__film__film_production_design_by	Horace_Ma
New_York_Thrash	__music__album__album_content_type	Compilation_album
Mark_Gillespie	__people__person__place_of_birth	Newcastle_upon_Tyne
St._Peter	__base__aareas__schema__administrative_area__administrative_parent	Graz
Michel_Legrand	__freebase__valuenotation__is_reviewed	Date_of_birth
Kevin_Tsai	__people__person__profession	Writer
Kerala	__location__location__people_born_here	Bhagyalakshmi
Pardon	__music__composition__composer	Robert_Cray
Rom	__fictional_universe__fictional_character__species	Ferengi
Hard_Times	__music__composition__recordings	Hard_Times_(live)
Detective	__common__topic__notable_types	Film_character
Manuel_V._Pangilinan	__people__person__profession	Screenwriter
Joe_Lawrence	__baseball__baseball_player__position_s	Second_baseman
Viacom	__internet__website_owner__websites_owned	iFilm
22869_Brianmcfar	__astronomy__star_system_body__star_system	Solar_System
Fantasy	__music__release_track__recording	Fantasy
Lady_Baltimore	__book__book__genre	Fiction
James_Maxwell	__people__person__profession	Poet
Cerritos	__location__location__contains	Cerritos_High_School
Kim_Rhodes	__freebase__valuenotation__is_reviewed	Date_of_birth
Heck's_Way_Home	__media_common__netflix_title__netflix_genres	Television_film
Valeriy_Brumel	__people__person__nationality	Soviet_Union
Ljubljana	__location__location__people_born_here	Bojan_Accetto
Tatamagouche	__location__location__people_born_here	Ron_Joyce
Stay	__music__recording__artist	Louise_Redknapp
Berlin	__music__recording__artist	Carrie_Elkin
The_Old_Man	__music__recording__tracks	The_Old_Man
Jorge_Barrera	__people__person__nationality	Mexico
Legacy_Recordings	__music__record_label__releases	Birds_of_Fire
J.A.C.K.	__music__album__release_type	Album
Cona,_Veneto	__common__topic__notable_types	City_Town_Village
Marvel_Romance_Redux	__book__book__genre	Fiction
Neil_Bregman	__people__person__place_of_birth	Montreal
Priest	__music__recording__releases	A_Little_Bit_Special
Ingo_Schulze	__people__person__profession	Writer
Amanzio_Todini	__people__person__gender	Male
Castle_Douglas	__location__location__people_born_here	Patrick_Gifford
Ljubljana	__location__location__people_born_here	Goran_Vojnović
Bread	__film__film__story_by	Wolfgang_Borchert
Presumed_Guilty	__media_common__netflix_title__netflix_genres	Television_film
Richmond	__common__topic__notable_types	City_Town_Village
Albert_Jean_Amateau	__people__person__profession	Businessperson
Anglie_Leung	__people__person__nationality	Hong_Kong
Shilpa_Sunthankar	__people__person__languages	Hindi_Language
Stand_Up_and_Cheer!	__media_common__netflix_title__netflix_genres	Musical
Patricia_Clarkson	__award__award_nominee__award_nominations	Thomas_McCarthy
George_Fleming	__people__person__gender	Male
Governorate	__user__thadguidry__default_domain__administrative_subdivision_level__country_of_context	Comoros
Black_Racer	__fictional_universe__fictional_character__character_created_by	Jack_Kirby
Brandon_League	__baseball__baseball_player__position_s	Pitcher
David_Campbell	__common__topic__notable_types	TV_Personality
Charlie's_Angels	__film__film__genre	Crime_Fiction
James_Ma	__people__person__nationality	China
Robert_Wallace	__people__person__gender	Male
American_Idol	__tv__tv_personality__tv_regular_appearances	Freda_Payne
Kevin_Marron	__people__person__gender	Male
Struthers	__location__hud_county_place__county	Mahoning_County
Josef_Gerstmann	__people__person__gender	Male
Toulouse-Lautrec	__fictional_universe__fictional_character__gender	Male
Royston_Dsouza	__people__person__gender	Male
Chandragiri	__common__topic__notable_types	City_Town_Village
Sinorice_Moss	__user__szaijan__fantasy_football__player__position	Wide_receiver
Sound_Blaster	__common__topic__notable_types	Computing_Platform
Michael_W._Horsten	__people__person__gender	Male
Milan_Zloković	__people__person__gender	Male
Alexander_Fol	__people__person__place_of_birth	Sofia
Astrakhan	__base__aareas__schema__administrative_area__administrative_area_type	Russian_oblast
Denis_Herron	__people__person__place_of_birth	Chambly
Bleeding_Hands	__music__release__track	New_York
Maryland	__film__film__film_art_direction_by	Wiard_Ihnen
Retrospective	__music__album__release_type	Album
Sam_Durant	__people__person__gender	Male
UCTV	__common__topic__notable_types	Broadcast
Karl_Urban	__award__award_winner__awards_won	Liv_Tyler
A._Leslie_Thomas	__people__person__place_of_birth	Louisiana
Hiroshi_Kanai	__people__person__gender	Male
Scottsdale	__location__location__contains	Scottsdale_Stadium
Cult_Comedies	__media_common__netflix_genre__titles	Buffalo_'66
Eddie_Plank	__award__hall_of_fame_induction_category__inductees	Baseball_player
Robert_B._Hedges	__people__person__profession	Minister_of_religion
David_Pisani	__people__person__nationality	Malta
Leigh	__common__topic__notable_types	Political_District
Mike_Tomkies	__people__person__gender	Male
G._L._S._Shackle	__influence__influence_node__influenced_by	Friedrich_Hayek
Cheryl_Blaylock	__people__person__profession	Comedian
John_C._Richards	__people__person__profession	Screenwriter
Dimanche_à_Bamako	__music__album__genre	Jazz
Franz_Koch	__people__person__gender	Male
Frank_Stokes	__people__person__gender	Male
Trax_Classix	__music__release__track_list	Pulse
Grey_Eminence	__book__written_work__subjects	Literary_criticism
Victor_Moses	__sports__sports_team__roster	Liverpool_F.C.
Oz_Noori	__people__person__gender	Male
Garden_of_the_Gods	__common__topic__notable_types	Tourist_attraction
Kim_Ji_Hyun	__people__person__profession	Singer
Nick_Felix	__people__person__gender	Male
Garry_Shandling	__people__person__gender	Male
Freedom_Park	__music__recording__tracks	Freedom_Park
Triathlon	__olympics__olympic_participating_country__athletes	China
The_Mummy_Returns	__cvg__game_version__platform	PlayStation_2
Four_Winds	__music__release__track	In_Time
Earth	__music__recording__tracks	Earth
Colin_Skellett	__people__person__profession	Businessperson
5_Ahead	__music__album__artist	Tokio
7_Deadly_Zens	__music__album__release_type	Album
Dimiter_Inkiow	__people__person__place_of_birth	Haskovo
Oleksandr_Zhdanov	__soccer__football_player__position_s	Defender
Aurora	__music__recording__artist	DMX_Krew
Tennis	__olympics__olympic_sport__olympic_games_contested	1924_Summer_Olympics
John_Lee_Hooker	__music__artist__label	Chess_Records
Isolation	__music__composition__lyricist	Peter_Hook
Carlos_Cárdenas	__people__person__gender	Male
One_by_One	__film__film__genre	Animation
Prairie_Bayou	__biology__organism__sex	Male
Anton_Megerdichev	__people__person__profession	Screenwriter
Raj_K._Bose	__people__person__nationality	India
Nasser_al-Bahri	__people__person__gender	Male
Jeff_Mariotte	__people__person__profession	Writer
Tadpoles_in_a_Jar	__music__release__format	Compact_disc
Lasell_College	__education__educational_institution__colors	Blue
Tibor_Simon	__people__deceased_person__place_of_death	Budapest
Masahiko_Harada	__olympics__olympic_medal__medal_winners	Bronze_medal
Amiga	__cvg__cvg_platform__games	Civilization
University_of_Gujrat	__location__location__containedby	Gujrat_City
Streetparty	__film__film__genre	Short_Film
Amanda_Field	__people__person__place_of_birth	Los_Angeles
Mike_Dwojak	__people__person__gender	Male
Juilliard_School	__education__field_of_study__students_majoring	Dance
Amiga	__cvg__cvg_platform__games	Maniac_Mansion
Ljubljana	__location__location__people_born_here	Zofka_Kveder
Jon_B.	__music__artist__album	Comfortable_Swagg
Henry_Digby	__people__person__gender	Male
Rob_Base	__people__person__profession	Record_producer
La_Scala	__music__release__format	Compact_disc
Bernie_Snyder	__baseball__baseball_player__position_s	Second_baseman
Al_Di_Meola	__music__artist__album	Winter_Nights
Desire	__film__film__genre	Romance_Film
Castle_Douglas	__location__location__people_born_here	Ted_McMinn
Józef_Kossakowski	__people__deceased_person__place_of_death	Warsaw
Andre_LeBlanc	__common__topic__notable_types	Film_director
American_High_School	__film__film__genre	Romance_Film
Caine_Black_Knife	__book__book__genre	Fantasy
Isa_Yuguda	__people__person__gender	Male
Count_on_Me	__music__release_track__recording	Count_on_Me
Jamal_Badawi	__people__person__place_of_birth	Egypt
Toji_Suzuhara	__common__topic__notable_types	Film_character
Snapshot	__music__album__genre	Post-punk
Maximum_Overdrive	__media_common__adaptation__adapted_from	Trucks
Jack_Nasser	__people__person__profession	Screenwriter
Economist_Group	__book__newspaper_owner__newspapers_owned	Roll_Call
Infernal	__cvg__computer_videogame__publisher	Eidos_Interactive
Orthodontics	__common__topic__image	ClockFace_Retainers
Valentin_Radu	__music__group_member__instruments_played	Organ
The_forgotten	__book__book_edition__author_editor	Elie_Wiesel
Władysław_Grabski	__people__deceased_person__place_of_death	Warsaw
Gold_Creek_Dam	__location__location__containedby	Brisbane
Bulletproof	__common__topic__notable_types	Musical_Album
Ljubljana	__location__location__people_born_here	Svatopluk_Innemann
Stamford_High_School	__education__educational_institution__school_type	State_school
Congo_Bill	__film__film__genre	Black-and-white
Black_Dog	__music__release_track__recording	Black_Dog
Yevgeny_Zhovtis	__people__person__place_of_birth	Almaty
Milan_Mladenovic	__people__deceased_person__place_of_death	Belgrade
Kerala	__location__location__people_born_here	Sunny_Joseph
Arctic_warbler	__base__birdconservation__bird_taxa__leg_band_size_s	0A
German_Book_Prize	__award__award_category__disciplines_or_subjects	Fiction
Lee_Seung-hun	__people__person__gender	Male
Michael_Rubin	__people__person__gender	Male
12413_Johnnyweir	__symbols__namesake__named_after	Johnny_Weir
Greg_Jerman	__american_football__football_player__position_s	Tackle
Nikki_Sudden	__people__person__profession	Singer
Le_Origini	__music__album__album_content_type	Compilation_album
Marker	__book__book__genre	Novel
Librarian	__common__topic__notable_types	Film_character
Jean-Michel_Carré	__people__person__gender	Male
Greensburg	__location__location__people_born_here	Welty_McCullogh
Rachel_Dratch	__base__saturdaynightlive__snl_actor__characters_played	Debbie_Downer
Donatello	__common__topic__notable_types	Visual_Artist
Ben_Sanders	__people__person__profession	Baseball_player
Scott_Amedure	__people__person__gender	Male
Don_Sellers	__people__person__gender	Male
Paco_Delgado	__people__person__gender	Male
Duet	__film__film__country	Iran
Equatorial_Guinea	__location__location__people_born_here	Miguel_Mba
Joey_Cheek	__people__person__gender	Male
Mars_Roberge	__common__topic__notable_types	Film_director
The_Firesign_Theatre	__base__yalebase__person__worked_on_publications	The_Yale_Record
Shropshire	__location__location__contains	Dorrington
Bob_Long	__baseball__baseball_player__position_s	Pitcher
Ljubljana	__location__location__people_born_here	Jože_Privšek
Alesha_Dixon	__music__artist__origin	England
Gravy_Train	__music__album__artist	Lou_Donaldson
Ontario	__location__location__people_born_here	David_Swain
Roadster	__type__object__type	Thing
Catherine_Leterrier	__people__person__profession	Costume_designer
Horst_Dohlus	__people__person__gender	Male
John_Lee_Hooker	__music__artist__label	Atlantic_Records
Billy_Reid	__soccer__football_player__position_s	Defender
Thomas_Nelson	__book__publishing_company__books_published	Blink
Baby_Love	__music__recording__song	Baby_Love
Nashua	__base__thoroughbredracing__thoroughbred_racehorse__foal_if_this_horse_is_sire	Shuvee
Barry_Aldridge	__people__person__profession	Screenwriter
Country_Gold	__music__album__release_type	Album
Rasputin	__music__composition__recorded_as_album	Rasputin
Agent_K	__fictional_universe__fictional_character__gender	Male
Fall	__music__recording__artist	Nils_Landgren
Multiple_Arts	__book__written_work__subjects	Aesthetics
Dark_Cloud	__cvg__computer_videogame__sequel	Dark_Chronicle
Lennox_Lewis	__freebase__valuenotation__is_reviewed	Place_of_birth
Shropshire	__location__location__contains	Wroxeter
Jonathan_Holiff	__common__topic__notable_types	Film_director
The_Best_of_SCTV	__film__film__written_by	John_Candy
Orpheum	__architecture__structure__architect	B._Marcus_Priteca
Billy_Daniels	__people__person__profession	Singer
Convoy_SC_143	__base__culturalevent__event__entity_involved	Karl_Dönitz
Edward_Finch_Abrams	__people__person__gender	Male
Yao_Chia-wen	__people__person__profession	Lawyer
Mount_Clemens	__common__topic__notable_types	City_Town_Village
Adefovir	__base__bioventurist__product__technology_involved	Small_molecule
Red_Young	__people__person__gender	Male
Maia_Sethna	__people__person__nationality	India
Pippi_Longstocking	__tv__tv_program__country_of_origin	United_Kingdom
Richard_W._Leche	__government__governmental_jurisdiction__governing_officials	Louisiana
Walt_Simonson	__fictional_universe__fictional_character_creator__fictional_characters_created	Orphan-Maker
Quebec_Autoroute_55	__transportation__road__major_cities	Drummondville
Cry!_-_Tender	__music__album__release_type	Album
Gerald_Abramovitz	__people__person__gender	Male
Fight_Network	__common__topic__notable_types	TV_Network
The_Island	__music__album__releases	The_Island
Joe_Inglis	__common__topic__notable_types	TV_Personality
Emil_Rathenau	__people__person__ethnicity	Jewish_people
Neil_Kelleher	__people__person__gender	Male
Wouter_Venema	__people__person__gender	Male
Ed_Samcoff	__people__person__profession	Baseball_player
Falerone	__location__location__containedby	Marche
David_Wilson	__people__person__gender	Male
Butler	__location__hud_county_place__place	Butler
Dayán_Viciedo	__baseball__baseball_player__position_s	Right_fielder
Dasun_Madushan	__people__person__profession	Singer
Seán_Fortune	__people__person__place_of_birth	Gorey
Richard_Hunt	__film__film_character__portrayed_in_films	Beaker
Raakilipattu	__film__film__directed_by	Priyadarshan
Dinu_Sararu	__people__person__profession	Writer
Birgit_Schuurman	__people__person__nationality	Netherlands
Raymond_Poincaré	__people__person__gender	Male
Deserted	__film__film__genre	Short_Film
Maintenon	__biology__organism__organism_type	Horse
Henry_B_Bolster	__people__person__gender	Male
Ettore_Marchiafava	__people__person__place_of_birth	Rome
Jimi_Shields	__common__topic__notable_types	Guitarist
Cult_Comedies	__media_common__netflix_genre__titles	Clerks
Ingemar_Carlehed	__people__person__gender	Male
Aveek_Mukhopadhyay	__people__person__gender	Male
Brad_Richards	__ice_hockey__hockey_player__hockey_position	Centerman
Serge_Aubry	__people__person__gender	Male
Greatest_Hits	__music__album__release_type	Album
Rape	__base__fight__sentence__convictions	Incarceration
My_Life_in_France	__book__written_work__subjects	Julia_Child
Dictator	__cvg__game_version__publisher	dK'Tronics
Speak_Now	__music__release_track__recording	Speak_Now
Tribune_Media	__freebase__valuenotation__is_reviewed	Headquarters
Ken_Olandt	__people__person__gender	Male
William_LeMessurier	__common__topic__notable_types	Engineer
Scratch_a_Tiger	__film__film__genre	Animation
Rose_Wilson	__fictional_universe__fictional_character__occupation	Assassin
Gyula_Zilahi	__people__person__nationality	Kingdom_of_Hungary
Leslie_Easterbrook	__people__person__place_of_birth	Los_Angeles
Do_the_Right_Thing	__music__release_track__release	Mandyleigh
Gernot_Friedel	__people__person__profession	Screenwriter
Believe	__music__release_track__recording	Believe
Martin_Plaza	__people__person__place_of_birth	Sydney
Inside_Job	__film__film__production_companies	Universal_Studios
Caruso	__music__recording__tracks	Caruso
Smetana	__common__image__appears_in_topic_gallery	Viola
Gypsy	__music__artist__genre	Rock_music
Samuel_Johnston	__people__person__gender	Male
Errol_Christie	__sports__boxer__weight_division	Middleweight
To_Turn_You_On	__music__composition__lyricist	Bryan_Ferry
The_B.B._&_Q._Band	__music__artist__track	Stay
Krona	__comic_books__comic_book_character__primary_universe	DC_Universe
Cult_Comedies	__media_common__netflix_genre__titles	Superbad
The_Smith_Family	__film__film__edited_by	Jeff_Werner
Darren_Phillip	__people__person__profession	Basketball_player
Ljubljana	__location__location__people_born_here	Peter_Musevski
Trevardo_Williams	__people__person__gender	Male
Li_Xiaotang	__people__person__gender	Male
Dimanche_à_Bamako	__music__album__genre	Rock_music
Hello	__music__composition__composer	Tim_Minchin
Murdoch_Dickie	__people__person__nationality	Scotland
Carrollton	__location__hud_county_place__county	Carroll_County
Al_Di_Meola	__music__artist__album	World_Sinfonia
Erin_Boheme	__common__topic__notable_types	Musical_Artist
Nobuyuki_Katsube	__people__person__place_of_birth	Tokyo_City
One_by_One	__film__film__genre	Short_Film
László_Garai	__people__person__nationality	Hungary
Rudi_Istenič	__people__person__gender	Male
Tyler_Spencer	__people__person__gender	Male
Devin_Maurer	__people__person__place_of_birth	Richmond
Eths	__music__artist__genre	Emo
Polow_da_Don	__music__producer__releases_produced	PCD
Ifeanyi_Ohalete	__people__person__gender	Male
Andrey_Boreyko	__people__person__gender	Male
Spirituals	__music__album__genre	Jazz
Marcia_Wallace	__people__deceased_person__place_of_death	Los_Angeles
Yoshifumi_Okada	__people__person__gender	Male
Rupert_Betheras	__people__person__profession	Artist
MTV	__music__recording__artist	Culturcide
Garfield_Smith	__people__person__gender	Male
Al_Di_Meola	__music__artist__album	Kiss_My_Axe
Ljubljana	__location__location__people_born_here	Janez_Skof
Yuki_Sato	__people__person__gender	Male
Life_Turns_Electric	__music__album__release_type	Album
Han_Yew_Kwang	__people__person__gender	Male
Battle_of_Sahart	__base__culturalevent__event__entity_involved	Portuguese_Empire
Waldemar_Szarek	__common__topic__notable_types	Film_director
Adam_Hasner	__people__person__gender	Male
Craig_Northey	__music__group_member__instruments_played	Guitar
Blurry	__music__recording__artist	Puddle_of_Mudd
Manchester	__music__composition__lyricist	Paul_Heaton
Rube_Schauer	__people__person__gender	Male
Ambon,_Maluku	__location__location__nearby_airports	Pattimura_Airport
New_York_City	__music__release_track__recording	New_York_City
Ben_Thompson	__people__person__profession	Singer
Todd_Terry	__people__person__gender	Male
Uwe_Weber	__visual_art__visual_artist__art_forms	Photography
Ljubljana	__location__location__people_born_here	Nejc__Dimnik
Simon_Starling	__freebase__valuenotation__is_reviewed	Gender
Giovanni_Franzoni	__people__person__place_of_birth	Mantua
Bob_Lemon	__baseball__baseball_player__position_s	Pitcher
DragonStrike	__cvg__game_version__platform	DOS
Darius_Clark_Monroe	__people__person__profession	Film_Producer
Joe_Lipari	__people__person__profession	Cinematographer
Stan_Palys	__people__person__gender	Male
Black	__music__recording__releases	No_Return
Primary	__music__artist__track	2001
Portland	__music__recording__releases	Don't_Tell_a_Soul
Harald_Hund	__people__person__gender	Male
Rajendra_Prasad	__government__governmental_jurisdiction__governing_officials	India
Mona_Lisa	__music__release_track__release	Welcome_to_My_World
Radiation	__music__composition__recordings	Radiation
Ljubljana	__location__location__people_born_here	Janez_Pate
Just_Married	__media_common__netflix_title__netflix_genres	Romance_Film
Qingde_Wang	__people__person__profession	Astronomer
Two_Deaths	__film__film__genre	War_film
Paris	__music__recording__tracks	Paris
Sharon_Creech	__book__author__works_written	Bloomability
George_Washington	__base__thoroughbredracing__thoroughbred_racehorse__color	Bay
Psychicemotus	__music__album__release_type	Album
Evin_Agassi	__people__person__gender	Male
Cliff_Mountain	__geography__mountain__mountain_range	Adirondack_Mountains
Ljubljana	__location__location__people_born_here	Rok_Hanžič
Doug_Jones	__people__person__gender	Male
John_Gray	__people__person__nationality	United_Kingdom
Tibullus	__book__author__works_written	Pervigilium_Veneris
André_S._Labarthe	__people__person__profession	Television_producer
Bonkers	__book__book__genre	Psychology
Harvey_Grossinger	__people__person__gender	Male
